"manyID","treatyID","Title","Beg","stateID","Signature","Force","StateName","gptadID","destaID","changes","StateRatification","StateSignature","StateForce","StateEnd","DataCollection"
"EQCUCA_1961O","EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","GAB","1961-01-01","1961-01-01","Gabon",NA,"422",1,NA,NA,NA,NA,1
"EQCUCA_1961O","EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","TCD","1961-01-01","1961-01-01","Chad",NA,"422",1,NA,NA,NA,NA,1
"IRQ-SYR[SYR]_1961O","IRQ-SYR[SYR]_1961O","Iraq Syria","1961-01-01","IRQ","1961-01-01",NA,"Iraq",NA,"753",1,NA,NA,NA,NA,1
"IRQ-SYR[SYR]_1961O","IRQ-SYR[SYR]_1961O","Iraq Syria","1961-01-01","SYR","1961-01-01",NA,"Syria",NA,"753",1,NA,NA,NA,NA,1
"AFRCCM_1962O","AFRCCM_1962O","African Common Market","1962-04-01","DZA","1962-04-01","1963-07-01","Algeria",NA,"2",1,NA,"22737",NA,NA,2
"AFRCCM_1962O","AFRCCM_1962O","African Common Market","1962-04-01","EGY","1962-04-01","1963-07-01","Egypt",NA,"2",1,NA,"22737",NA,NA,2
"AFRCCM_1962O","AFRCCM_1962O","African Common Market","1962-04-01","GHA","1962-04-01","1963-07-01","Ghana",NA,"2",1,NA,"22737",NA,NA,2
"AFRCCM_1962O","AFRCCM_1962O","African Common Market","1962-04-01","GIN","1962-04-01","1963-07-01","Guinea",NA,"2",1,NA,"22737",NA,NA,2
"AFRCCM_1962O","AFRCCM_1962O","African Common Market","1962-04-01","MAR","1962-04-01","1963-07-01","Morocco",NA,"2",1,NA,"22737",NA,NA,2
"AFRCCM_1962O","AFRCCM_1962O","African Common Market","1962-04-01","MLI","1962-04-01","1963-07-01","Mali",NA,"2",1,NA,"22737",NA,NA,2
"ARBCMM_1962O","ARBCMM_1962O","Arab Common Market","1962-06-06","EGY","1962-06-06","1964-04-30","Egypt",NA,"29",1,NA,NA,NA,NA,1
"ARBCMM_1962O","ARBCMM_1962O","Arab Common Market","1962-06-06","IRQ","1962-06-06","1964-04-30","Iraq",NA,"29",1,NA,"22803",NA,NA,2
