HUGGOMetaData;;;;;;;;;;;
;manyID;Title;Signature;Force;url;End;Checked_HUGGO;Parties;No_source;MetaData_confirmed;treatyID
106;ECASTR_1972A;EC Austria Agreement Of 1972;22/07/1972;20/12/1972;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A21972A0722%2801%29&qid=1671099049164;31/12/1994;NA;Germany, France, Italy, The Netherlands, Belgium, Luxembourg, Austria;NA;2;ECASTR_1972A
107;ECPRTG_1972A;EC Portugal Agreement Of 1972;22/07/1972;01/01/1973;https://raw.github.com/mappingtreaties/tota/master/xml/pta_230.xml;NA;NA;;NA;NA;ECPRTG_1972A
108;ECSWDN_1972A;EC Sweden Agreement;22/07/1972;01/01/1973;https://raw.github.com/mappingtreaties/tota/master/xml/pta_238.xml;NA;NA;;NA;NA;ECSWDN_1972A
109;ECENLC_1972O:ECENLR_1972O;EC Iceland;22/07/1972;04/01/1973;https://wits.worldbank.org/GPTAD/PDF/archive/EC-Iceland.pdf;NA;1;Germany, France, Italy, The Netherlands, Belgium, Luxembourg, Iceland;NA;2;ECICLN_1972O
110;CHE-LIE[NA]_1972O;EC Switzerland And Liechtenstein;22/07/1972;01/01/1973;https://wits.worldbank.org/GPTAD/PDF/archive/EC-Switzerland-Leichten.pdf;NA;NA;;1;NA;CHE-LIE[NA]_1972O
111;ECEGYP_1972A;EC Egypt Agreement Of 1972;18/12/1972;01/11/1973;https://raw.github.com/mappingtreaties/tota/master/xml/pta_213.xml;NA;NA;;1;NA;ECEGYP_1972A
112;ECEGYP_1972O;EC Egypt;18/12/1972;06/01/1977;https://wits.worldbank.org/GPTAD/PDF/archive/EC-Egypt.pdf;NA;NA;;NA;NA;ECEGYP_1972O
113;EUE-ISL[NA]_1972O;EU Iceland;19/12/1972;01/04/1973;https://raw.github.com/mappingtreaties/tota/master/xml/pta_130.xml;NA;NA;;NA;NA;EUE-ISL[NA]_1972O
114;ECCYPA_1972A;EC Cyprus Association Agreement;19/12/1972;01/06/1973;https://raw.github.com/mappingtreaties/tota/master/xml/pta_210.xml;NA;NA;;NA;NA;ECCYPA_1972A
115;CYPRSE_1972O;EC Cyprus;19/12/1972;06/01/1973;https://wits.worldbank.org/GPTAD/PDF/archive/EC-Cyprus.pdf;19/12/1972;1;Germany, France, Italy, The Netherlands, Belgium, Luxembourg, Cyprus;NA;1;ECCYPR_1972O
116;CRBBNC_1973O;Caribbean Community (CARICOM);04/07/1973;01/08/1973;http://www.sice.oas.org/Trade/CCME/Chaguaramastreaty_e.pdf;NA;1;Antigua, Bahamas, Barbados, Belize, Dominica, Grenada, Guyana, Jamaica, Montserrat, St.Kitts-Nevis-Anguilla, St.Lucia, St.Vincent, Trinidad and Tobago;NA;1;CRBBNC_1973O
117;CRI-PAN[NA]_1973O:CRI-PAN[NA]_1973O;Costa Rica Panama;08/06/1973;;https://edit.wti.org/document/show/a4b7ec16-b5d4-4c98-82be-8949f196980d?textBlockId=6df9d906-ad48-4d42-8e60-b4bfb7a27bfb&page=1;NA;1;Costa Rica, Panama;NA;2;CRI-PAN[NA]_1973O:CRI-PAN[NA]_1973O
118;ECTRKS_1973P;EC Turkey Supplementary Protocol;;;NA;NA;NA;;1;NA;ECTRKS_1973P
119;NIC-PAN[NA]_1973O;Nicaragua Panama;01/01/1973;01/01/1974;NA;NA;NA;;1;NA;NIC-PAN[NA]_1973O
120;MAR-ALG[NA]_1973O:MAR-ALG[NA]_1973O;Algeria Morocco;01/01/1973;NA;NA;NA;NA;;NA;NA;MAR-ALG[NA]_1973O:MAR-ALG[NA]_1973O
121;GUY-PAN[NA]_1973O;Guyana Panama;01/01/1973;NA;NA;NA;NA;;NA;NA;GUY-PAN[NA]_1973O
